PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,1.75629496574402,-460.904235839844,1362.0439453125,7,0,0,0
2,0,0,1.75489890575409,-460.573181152344,1361.10034179688,7,0,0,0
3,0,0,1.75350284576416,-460.242126464844,1360.15673828125,7,0,0,0
4,0,0,1.75210678577423,-459.911071777344,1359.21313476563,7,0,0,0
5,0,0,1.7507107257843,-459.580017089844,1358.26953125,7,0,0,0
6,0,0,1.74931466579437,-459.248962402344,1357.32592773438,7,0,0,0
7,0,0,1.74791860580444,-458.917907714844,1356.38232421875,7,0,0,0
8,0,0,1.74652254581451,-458.586853027344,1355.43872070313,7,0,0,0
9,0,0,1.74512648582459,-458.255798339844,1354.4951171875,7,0,0,0
10,0,0,1.74373042583466,-457.924743652344,1353.55151367188,7,0,0,0
11,0,0,1.74233436584473,-457.593688964844,1352.60791015625,7,0,0,0
12,0,0,1.7409383058548,-457.262634277344,1351.66430664063,7,0,0,0
13,0,0,1.73954224586487,-456.931579589844,1350.720703125,7,0,0,0
14,0,0,1.73814618587494,-456.600524902344,1349.77709960938,7,0,0,0
15,0,0,1.73675012588501,-456.269470214844,1348.83349609375,7,0,0,0
16,0,0,1.73535406589508,-455.938415527344,1347.88989257813,7,0,0,0
17,0,0,1.73395800590515,-455.607360839844,1346.9462890625,7,0,0,0
18,0,0,1.73256194591522,-455.276306152344,1346.00268554688,7,0,0,0
19,0,0,1.73116588592529,-454.945251464844,1345.05908203125,7,0,0,0
20,0,0,1.72976982593536,-454.614196777344,1344.11547851563,7,0,0,0
21,0,0,1.72837376594543,-454.283142089844,1343.171875,7,0,0,0
22,0,0,1.72697770595551,-453.952087402344,1342.22827148438,7,0,0,0
23,0,0,1.72558164596558,-453.621032714844,1341.28466796875,7,0,0,0
24,0,0,1.72418558597565,-453.289978027344,1340.34106445313,7,0,0,0
25,0,0,1.72278952598572,-452.958923339844,1339.3974609375,7,0,0,0
26,0,0,1.72139346599579,-452.627868652344,1338.45385742188,7,0,0,0
27,0,0,1.71999740600586,-452.296813964844,1337.51025390625,7,0,0,0
28,0,0,1.71860134601593,-451.965759277344,1336.56665039063,7,0,0,0
29,0,0,1.717205286026,-451.634704589844,1335.623046875,7,0,0,0
30,0,0,1.71580922603607,-451.303649902344,1334.67944335938,7,0,0,0
31,0,0,1.71441316604614,-450.972595214844,1333.73583984375,7,0,0,0
32,0,0,1.71301710605621,-450.641540527344,1332.79223632813,7,0,0,0
