ID,LID,Width,Color,type,LinkID
1,1,0.15,W,0,24
2,2,0.15,W,0,70
3,3,0.15,W,0,117
4,4,0.15,W,0,163
5,5,0.15,W,0,24
6,6,0.15,W,0,70
7,7,0.15,W,0,473
8,8,0.15,W,0,519
9,9,0.15,W,0,380
10,10,0.15,W,0,426
11,11,0.15,W,0,473
12,12,0.15,W,0,519
13,13,0.15,W,0,1840
14,14,0.15,W,0,1886
15,15,0.15,W,0,1933
16,16,0.15,W,0,1979
17,17,0.15,W,0,7676
18,18,0.15,W,0,7722
19,19,0.15,W,0,7769
20,20,0.15,W,0,7815
21,21,0.15,Y,0,7676
22,22,0.15,Y,0,7722
23,23,0.15,Y,0,7769
24,24,0.15,Y,0,7815
25,25,0.15,Y,0,21106
26,26,0.15,Y,0,21059
27,27,0.15,Y,0,21013
28,28,0.15,Y,0,20966
29,29,0.15,W,0,21106
30,30,0.15,W,0,21059
31,31,0.15,W,0,21013
32,32,0.15,W,0,23885
33,33,0.15,W,0,24024
34,34,0.15,W,0,26895
35,35,0.15,W,0,26849
36,36,0.15,W,0,26802
37,37,0.15,W,0,12248
38,38,0.15,W,0,26895
39,39,0.15,W,0,12155
40,40,0.15,W,0,12109
41,41,0.15,W,0,12248
42,42,0.15,W,0,10785
43,43,0.15,W,0,10739
44,44,0.15,W,0,12109
45,45,0.15,W,0,10832
46,46,0.15,W,0,10785
47,47,0.15,W,0,10739
48,48,0.15,W,0,10693
49,49,0.15,W,0,200
50,50,0.15,W,0,232
51,51,0.15,W,0,267
52,52,0.15,W,0,294
53,53,0.15,W,0,311
54,54,0.15,W,0,329
55,55,0.15,W,0,347
56,56,0.15,Y,0,200
57,57,0.15,Y,0,232
58,58,0.15,Y,0,267
59,59,0.15,Y,0,293
60,60,0.15,Y,0,310
61,61,0.15,Y,0,328
62,62,0.15,Y,0,347
63,63,0.15,W,0,597
64,64,0.15,W,0,706
65,65,0.15,W,0,815
66,66,0.15,W,0,923
67,67,0.15,W,0,2057
68,68,0.15,W,0,706
69,69,0.15,W,0,815
70,70,0.15,W,0,2383
71,71,0.15,W,0,4975
72,72,0.15,W,0,5084
73,73,0.15,W,0,5193
74,74,0.15,W,0,5302
75,75,0.15,W,0,7893
76,76,0.15,W,0,8002
77,77,0.15,W,0,8111
78,78,0.15,W,0,5302
79,79,0.15,Y,0,7893
80,80,0.15,Y,0,8002
81,81,0.15,Y,0,8111
82,82,0.15,Y,0,8220
83,83,0.15,Y,0,20889
84,84,0.15,Y,0,20780
85,85,0.15,Y,0,20671
86,86,0.15,Y,0,20587
87,87,0.15,W,0,20889
88,88,0.15,W,0,23698
89,89,0.15,W,0,23589
90,90,0.15,W,0,20587
91,91,0.15,W,0,26725
92,92,0.15,W,0,26616
93,93,0.15,W,0,26507
94,94,0.15,W,0,26423
95,95,0.15,W,0,12031
96,96,0.15,W,0,11922
97,97,0.15,W,0,11813
98,98,0.15,W,0,26423
99,99,0.15,W,0,12031
100,100,0.15,W,0,11077
101,101,0.15,W,0,10968
102,102,0.15,W,0,10885
103,103,0.15,W,0,12072
104,104,0.15,W,0,10633
105,105,0.15,W,0,10615
106,106,0.15,W,0,10598
107,107,0.15,W,0,10580
108,108,0.15,W,0,10655
109,109,0.15,W,0,10633
110,110,0.15,W,0,10615
111,111,0.15,W,0,10597
112,112,0.15,W,0,10580
113,113,0.15,W,0,11908
114,114,0.15,W,0,11799
115,115,0.15,W,0,10885
116,116,0.15,W,0,11063
117,117,0.15,W,0,10962
118,118,0.15,W,0,10897
119,119,0.15,W,0,10860
120,120,0.15,Y,0,34836
121,121,0.15,Y,0,34843
122,122,0.15,Y,0,34849
123,123,0.15,Y,0,34855
124,124,0.15,W,0,34836
125,125,0.15,W,0,34843
126,126,0.15,W,0,34849
127,127,0.15,W,0,34855
128,128,0.15,W,0,35059
129,129,0.15,W,0,1172
130,130,0.15,W,0,1301
131,131,0.15,W,0,1430
132,132,0.15,W,0,2503
133,133,0.15,W,0,2632
134,134,0.15,W,0,2761
135,135,0.15,W,0,2890
136,136,0.15,W,0,5421
137,137,0.15,W,0,5550
138,138,0.15,W,0,5679
139,139,0.15,W,0,2890
140,140,0.15,W,0,8339
141,141,0.15,W,0,8468
142,142,0.15,W,0,8597
143,143,0.15,W,0,8726
144,144,0.15,Y,0,8339
145,145,0.15,Y,0,8468
146,146,0.15,Y,0,8597
147,147,0.15,Y,0,8726
148,148,0.15,Y,0,20487
149,149,0.15,Y,0,20345
150,150,0.15,Y,0,20203
151,151,0.15,Y,0,20061
152,152,0.15,W,0,23405
153,153,0.15,W,0,23263
154,154,0.15,W,0,20204
155,155,0.15,W,0,20062
156,156,0.15,W,0,26323
157,157,0.15,W,0,26181
158,158,0.15,W,0,23121
159,159,0.15,W,0,22980
160,160,0.15,W,0,11630
161,161,0.15,W,0,11488
162,162,0.15,W,0,11346
163,163,0.15,W,0,11204
164,164,0.15,W,0,11677
165,165,0.15,W,0,11393
166,166,0.15,W,0,29181
167,167,0.15,W,0,29193
168,168,0.15,W,0,29209
169,169,0.15,W,0,29225
170,170,0.15,W,0,29240
171,171,0.15,W,0,29256
172,172,0.15,W,0,29272
173,173,0.15,W,0,29287
174,174,0.15,W,0,29303
175,175,0.15,W,0,29319
176,176,0.15,W,0,29334
177,177,0.15,W,0,29350
178,178,0.15,W,0,29366
179,179,0.15,W,0,29382
180,180,0.15,W,0,29397
181,181,0.15,W,0,29413
182,182,0.15,W,0,29181
183,183,0.15,W,0,29194
184,184,0.15,W,0,29209
185,185,0.15,W,0,29225
186,186,0.15,W,0,29241
187,187,0.15,W,0,29256
188,188,0.15,W,0,29272
189,189,0.15,W,0,29288
190,190,0.15,W,0,29303
191,191,0.15,W,0,29319
192,192,0.15,W,0,29335
193,193,0.15,W,0,1333
194,194,0.15,W,0,1349
195,195,0.15,W,0,1365
196,196,0.15,W,0,29397
